s	pop	continental_pop	sex_karyotype
HG02656	pjl	sas	XY
HG02660	pjl	sas	XY
HG02661	pjl	sas	XX
HG02662	pjl	sas	XX
HG02666	gwd	afr	XY
HG02667	gwd	afr	XX
HG02668	gwd	afr	XY
HG02675	gwd	afr	XY
HG02676	gwd	afr	XX
HG02677	gwd	afr	XX
HG02678	gwd	afr	XY
HG02679	gwd	afr	XX
HG02680	gwd	afr	XX
HG02681	pjl	sas	XY
HG02682	pjl	sas	XX
HG02684	pjl	sas	XY
HG02685	pjl	sas	XX
HG02686	pjl	sas	XY
HG02687	pjl	sas	XY
HG02688	pjl	sas	XX
HG02689	pjl	sas	XY
HG02690	pjl	sas	XY
HG02691	pjl	sas	XX
HG02692	pjl	sas	XX
HG02694	pjl	sas	XX
HG02697	pjl	sas	XX
HG02698	pjl	sas	XY
HG02699	pjl	sas	XY
HG02700	pjl	sas	XX
HG02701	pjl	sas	XY
HG02702	gwd	afr	XY
HG02703	gwd	afr	XX
HG02704	gwd	afr	XX
HG02715	gwd	afr	XY
HG02716	gwd	afr	XX
HG02717	gwd	afr	XY
HG02721	gwd	afr	XY
HG02722	gwd	afr	XX
HG02723	gwd	afr	XX
HG02724	pjl	sas	XY
HG02725	pjl	sas	XX
HG02726	pjl	sas	XX
HG02727	pjl	sas	XY
HG02728	pjl	sas	XX
HG02729	pjl	sas	XY
HG02731	pjl	sas	XX
HG02733	pjl	sas	XY
HG02734	pjl	sas	XX
HG02735	pjl	sas	XY
HG02736	pjl	sas	XY
HG02737	pjl	sas	XX
HG02738	pjl	sas	XY
HG02756	gwd	afr	XY
HG02757	gwd	afr	XX
HG02759	gwd	afr	XY
HG02760	gwd	afr	XX
HG02761	gwd	afr	XX
HG02762	gwd	afr	XY
HG02763	gwd	afr	XX
HG02764	gwd	afr	XY
HG02768	gwd	afr	XY
HG02769	gwd	afr	XX
HG02770	gwd	afr	XX
HG02771	gwd	afr	XY
HG02772	gwd	afr	XX
HG02773	gwd	afr	XY
HG02774	pjl	sas	XY
HG02775	pjl	sas	XX
HG02776	pjl	sas	XX
HG02778	pjl	sas	XX
HG02780	pjl	sas	XY
HG02783	pjl	sas	XY
HG02784	pjl	sas	XX
HG02785	pjl	sas	XX
HG02786	pjl	sas	XY
HG02787	pjl	sas	XX
HG02788	pjl	sas	XX
HG02789	pjl	sas	XY
HG02790	pjl	sas	XX
HG02791	pjl	sas	XY
HG02792	pjl	sas	XY
HG02793	pjl	sas	XX
HG02794	pjl	sas	XY
HG02798	gwd	afr	XY
HG02799	gwd	afr	XX
HG02800	gwd	afr	XY
HG02804	gwd	afr	XY
HG02805	gwd	afr	XX
HG02806	gwd	afr	XX
HG02807	gwd	afr	XY
HG02808	gwd	afr	XX
HG02809	gwd	afr	XX
HG02810	gwd	afr	XY
HG02811	gwd	afr	XX
HG02812	gwd	afr	XY
HG02813	gwd	afr	XY
HG02814	gwd	afr	XX
HG02815	gwd	afr	XY
HG02819	gwd	afr	XY
HG02820	gwd	afr	XX
HG02821	gwd	afr	XY
HG02836	gwd	afr	XY
HG02837	gwd	afr	XX
HG02838	gwd	afr	XY
HG02839	gwd	afr	XY
HG02840	gwd	afr	XX
HG02841	gwd	afr	XX
HG02851	gwd	afr	XY
HG02852	gwd	afr	XX
HG02853	gwd	afr	XY
HG02854	gwd	afr	XY
HG02855	gwd	afr	XX
HG02856	gwd	afr	XY
HG02860	gwd	afr	XY
HG02861	gwd	afr	XX
HG02862	gwd	afr	XX
HG02870	gwd	afr	XX
HG02871	gwd	afr	XX
HG02878	gwd	afr	XY
HG02879	gwd	afr	XX
HG02880	gwd	afr	XX
HG02881	gwd	afr	XY
HG02882	gwd	afr	XX
HG02883	gwd	afr	XY
HG02884	gwd	afr	XY
HG02885	gwd	afr	XX
HG02886	gwd	afr	XX
HG02887	gwd	afr	XY
HG02888	gwd	afr	XX
HG02889	gwd	afr	XX
HG02890	gwd	afr	XY
HG02891	gwd	afr	XX
HG02892	gwd	afr	XY
HG02895	gwd	afr	XY
HG02896	gwd	afr	XX
HG02897	gwd	afr	XX
HG02922	esn	afr	XX
HG02923	esn	afr	XY
HG02924	esn	afr	XY
HG02938	esn	afr	XY
HG02941	esn	afr	XY
HG02943	esn	afr	XX
HG02944	esn	afr	XY
HG02945	esn	afr	XX
HG02946	esn	afr	XX
HG02947	esn	afr	XY
HG02948	esn	afr	XY
HG02952	esn	afr	XX
HG02953	esn	afr	XY
HG02954	esn	afr	XY
HG02964	esn	afr	XX
HG02965	esn	afr	XY
HG02966	esn	afr	XY
HG02968	esn	afr	XY
HG02970	esn	afr	XX
HG02971	esn	afr	XY
HG02972	esn	afr	XY
HG02973	esn	afr	XY
HG02974	esn	afr	XX
HG02975	esn	afr	XY
HG02976	esn	afr	XX
HG02977	esn	afr	XY
HG02978	esn	afr	XX
HG02979	esn	afr	XX
HG02980	esn	afr	XY
HG02981	esn	afr	XY
HG02982	gwd	afr	XY
HG02983	gwd	afr	XX
HG02984	gwd	afr	XY
HG03006	beb	sas	XY
HG03007	beb	sas	XX
HG03008	beb	sas	XY
HG03009	beb	sas	XY
HG03012	beb	sas	XY
HG03015	pjl	sas	XY
HG03016	pjl	sas	XX
HG03017	pjl	sas	XY
HG03018	pjl	sas	XY
HG03021	pjl	sas	XY
HG03022	pjl	sas	XX
HG03024	gwd	afr	XY
HG03025	gwd	afr	XX
HG03026	gwd	afr	XX
HG03027	gwd	afr	XY
HG03028	gwd	afr	XX
HG03029	gwd	afr	XY
HG03033	gwd	afr	XY
HG03034	gwd	afr	XX
HG03035	gwd	afr	XY
HG03039	gwd	afr	XY
HG03040	gwd	afr	XX
HG03041	gwd	afr	XX
HG03045	gwd	afr	XY
HG03046	gwd	afr	XX
HG03047	gwd	afr	XX
HG03048	gwd	afr	XY
HG03049	gwd	afr	XX
HG03050	gwd	afr	XY
HG03052	msl	afr	XX
HG03054	msl	afr	XY
HG03055	msl	afr	XX
HG03056	msl	afr	XY
HG03057	msl	afr	XY
HG03058	msl	afr	XX
HG03060	msl	afr	XY
HG03061	msl	afr	XX
HG03063	msl	afr	XY
HG03064	msl	afr	XX
HG03065	msl	afr	XY
HG03066	msl	afr	XY
HG03069	msl	afr	XY
HG03072	msl	afr	XY
HG03073	msl	afr	XX
HG03074	msl	afr	XY
HG03077	msl	afr	XY
HG03078	msl	afr	XY
HG03079	msl	afr	XX
HG03081	msl	afr	XY
HG03082	msl	afr	XX
HG03084	msl	afr	XY
HG03086	msl	afr	XX
HG03088	msl	afr	XX
HG03091	msl	afr	XX
HG03095	msl	afr	XX
HG03096	msl	afr	XY
HG03097	msl	afr	XX
HG03099	esn	afr	XX
HG03100	esn	afr	XY
HG03101	esn	afr	XY
HG03103	esn	afr	XY
HG03105	esn	afr	XX
HG03108	esn	afr	XX
HG03109	esn	afr	XY
HG03110	esn	afr	XX
HG03111	esn	afr	XX
HG03112	esn	afr	XY
HG03113	esn	afr	XX
HG03114	esn	afr	XX
HG03115	esn	afr	XY
HG03116	esn	afr	XX
HG03117	esn	afr	XX
HG03118	esn	afr	XY
HG03119	esn	afr	XX
HG03120	esn	afr	XY
HG03121	esn	afr	XX
HG03122	esn	afr	XY
HG03123	esn	afr	XX
HG03124	esn	afr	XY
HG03125	esn	afr	XX
HG03126	esn	afr	XX
HG03127	esn	afr	XY
HG03128	esn	afr	XY
HG03129	esn	afr	XX
HG03130	esn	afr	XY
HG03131	esn	afr	XY
HG03132	esn	afr	XX
HG03133	esn	afr	XY
HG03134	esn	afr	XY
HG03135	esn	afr	XX
HG03136	esn	afr	XY
HG03137	esn	afr	XY
HG03139	esn	afr	XY
HG03157	esn	afr	XY
HG03159	esn	afr	XX
HG03160	esn	afr	XY
HG03161	esn	afr	XY
HG03162	esn	afr	XX
HG03163	esn	afr	XY
HG03164	esn	afr	XX
HG03166	esn	afr	XY
HG03168	esn	afr	XX
HG03169	esn	afr	XY
HG03170	esn	afr	XY
HG03172	esn	afr	XY
HG03175	esn	afr	XY
HG03189	esn	afr	XX
HG03190	esn	afr	XY
HG03191	esn	afr	XY
HG03193	esn	afr	XY
HG03195	esn	afr	XX
HG03196	esn	afr	XY
HG03197	esn	afr	XY
HG03198	esn	afr	XX
HG03199	esn	afr	XY
HG03200	esn	afr	XX
HG03202	esn	afr	XY
HG03209	msl	afr	XY
HG03212	msl	afr	XX
HG03224	msl	afr	XY
HG03225	msl	afr	XY
HG03228	pjl	sas	XY
HG03229	pjl	sas	XX
HG03230	pjl	sas	XX
HG03234	pjl	sas	XY
HG03235	pjl	sas	XX
HG03236	pjl	sas	XX
HG03237	pjl	sas	XY
HG03238	pjl	sas	XX
HG03239	pjl	sas	XX
HG03246	gwd	afr	XY
HG03247	gwd	afr	XX
HG03248	gwd	afr	XY
HG03249	gwd	afr	XY
HG03251	gwd	afr	XX
HG03258	gwd	afr	XY
HG03259	gwd	afr	XX
HG03260	gwd	afr	XY
HG03265	esn	afr	XY
HG03267	esn	afr	XX
HG03268	esn	afr	XY
HG03269	esn	afr	XY
HG03270	esn	afr	XX
HG03271	esn	afr	XY
HG03272	esn	afr	XX
HG03279	esn	afr	XX
HG03280	esn	afr	XY
HG03291	esn	afr	XX
HG03294	esn	afr	XX
HG03295	esn	afr	XY
HG03296	esn	afr	XY
HG03297	esn	afr	XX
HG03298	esn	afr	XY
HG03299	esn	afr	XY
HG03304	esn	afr	XY
HG03305	esn	afr	XX
HG03306	esn	afr	XX
HG03307	esn	afr	XY
HG03308	esn	afr	XY
HG03309	esn	afr	XX
HG03310	esn	afr	XX
HG03311	esn	afr	XY
HG03312	esn	afr	XX
HG03313	esn	afr	XY
HG03314	esn	afr	XY
HG03342	esn	afr	XX
HG03343	esn	afr	XY
HG03344	esn	afr	XY
HG03350	esn	afr	XY
HG03351	esn	afr	XX
HG03352	esn	afr	XY
HG03354	esn	afr	XX
HG03363	esn	afr	XX
HG03366	esn	afr	XX
HG03367	esn	afr	XY
HG03368	esn	afr	XY
HG03369	esn	afr	XX
HG03370	esn	afr	XY
HG03371	esn	afr	XY
HG03372	esn	afr	XX
HG03373	esn	afr	XY
HG03374	esn	afr	XX
HG03376	msl	afr	XY
HG03378	msl	afr	XX
HG03380	msl	afr	XX
HG03382	msl	afr	XY
HG03385	msl	afr	XY
HG03388	msl	afr	XY
HG03391	msl	afr	XY
HG03394	msl	afr	XY
HG03397	msl	afr	XY
HG03401	msl	afr	XX
HG03410	msl	afr	XX
HG03419	msl	afr	XX
HG03428	msl	afr	XX
HG03432	msl	afr	XY
HG03433	msl	afr	XY
HG03436	msl	afr	XY
HG03437	msl	afr	XX
HG03438	msl	afr	XX
HG03439	msl	afr	XY
HG03442	msl	afr	XY
HG03445	msl	afr	XY
HG03446	msl	afr	XX
HG03449	msl	afr	XX
HG03454	msl	afr	XY
HG03455	msl	afr	XX
HG03457	msl	afr	XY
HG03458	msl	afr	XX
HG03460	msl	afr	XY
HG03461	msl	afr	XX
HG03464	msl	afr	XX
HG03470	msl	afr	XX
HG03472	msl	afr	XY
HG03473	msl	afr	XX
HG03476	msl	afr	XX
HG03478	msl	afr	XY
HG03479	msl	afr	XX
HG03480	msl	afr	XX
HG03487	pjl	sas	XY
HG03488	pjl	sas	XX
HG03489	pjl	sas	XY
HG03490	pjl	sas	XY
HG03491	pjl	sas	XX
HG03492	pjl	sas	XY
HG03499	esn	afr	XX
HG03514	esn	afr	XX
HG03515	esn	afr	XY
HG03516	esn	afr	XX
HG03520	esn	afr	XX
HG03521	esn	afr	XY
HG03522	esn	afr	XX
HG03538	gwd	afr	XY
HG03539	gwd	afr	XX
HG03540	gwd	afr	XX
HG03548	msl	afr	XX
HG03556	msl	afr	XY
HG03557	msl	afr	XX
HG03558	msl	afr	XX
HG03559	msl	afr	XY
HG03563	msl	afr	XX
HG03565	msl	afr	XY
HG03567	msl	afr	XX
HG03571	msl	afr	XY
HG03572	msl	afr	XX
HG03574	msl	afr	XY
HG03575	msl	afr	XX
HG03576	msl	afr	XX
HG03577	msl	afr	XY
HG03578	msl	afr	XX
HG03579	msl	afr	XY
HG03583	msl	afr	XX
HG03584	msl	afr	XX
HG03585	beb	sas	XY
HG03589	beb	sas	XX
HG03593	beb	sas	XY
HG03595	beb	sas	XX
HG03596	beb	sas	XY
HG03598	beb	sas	XX
HG03600	beb	sas	XY
HG03603	beb	sas	XY
HG03604	beb	sas	XX
HG03605	beb	sas	XX
HG03606	beb	sas	XY
HG03607	beb	sas	XX
HG03611	beb	sas	XX
HG03615	beb	sas	XY
HG03616	beb	sas	XX
HG03617	beb	sas	XX
HG03618	pjl	sas	XY
HG03619	pjl	sas	XX
HG03620	pjl	sas	XX
HG03629	pjl	sas	XY
HG03631	pjl	sas	XX
HG03633	pjl	sas	XY
HG03634	pjl	sas	XX
HG03635	pjl	sas	XX
HG03636	pjl	sas	XY
HG03639	pjl	sas	XY
HG03640	pjl	sas	XX
HG03641	pjl	sas	XY
HG03642	stu	sas	XX
HG03643	stu	sas	XX
HG03644	stu	sas	XY
HG03645	stu	sas	XX
HG03646	stu	sas	XY
HG03649	pjl	sas	XY
HG03650	pjl	sas	XX
HG03651	pjl	sas	XY
HG03652	pjl	sas	XY
HG03653	pjl	sas	XX
HG03654	pjl	sas	XY
HG03660	pjl	sas	XY
HG03663	pjl	sas	XY
HG03667	pjl	sas	XY
HG03668	pjl	sas	XX
HG03669	pjl	sas	XX
HG03672	stu	sas	XY
HG03673	stu	sas	XX
HG03679	stu	sas	XY
HG03680	stu	sas	XY
HG03681	stu	sas	XY
HG03682	stu	sas	XY
HG03683	stu	sas	XX
HG03684	stu	sas	XX
HG03685	stu	sas	XY
HG03686	stu	sas	XY
HG03687	stu	sas	XY
HG03689	stu	sas	XX
HG03690	stu	sas	XX
HG03691	stu	sas	XY
HG03692	stu	sas	XX
HG03693	stu	sas	XY
HG03694	stu	sas	XY
HG03695	stu	sas	XY
HG03696	stu	sas	XY
HG03697	stu	sas	XY
HG03698	stu	sas	XX
HG03699	pjl	sas	XY
HG03700	pjl	sas	XX
HG03701	pjl	sas	XY
HG03702	pjl	sas	XY
HG03703	pjl	sas	XX
HG03704	pjl	sas	XX
HG03705	pjl	sas	XY
HG03706	pjl	sas	XX
HG03707	pjl	sas	XY
HG03708	pjl	sas	XY
HG03709	pjl	sas	XX
HG03710	pjl	sas	XY
HG03711	stu	sas	XY
HG03713	itu	sas	XY
HG03714	itu	sas	XX
HG03716	itu	sas	XY
HG03717	itu	sas	XX
HG03718	itu	sas	XY
HG03720	itu	sas	XY
HG03721	itu	sas	XX
HG03727	itu	sas	XY
HG03729	itu	sas	XY
HG03730	itu	sas	XX
HG03731	itu	sas	XX
HG03732	itu	sas	XY
HG03733	stu	sas	XX
HG03736	stu	sas	XX
HG03738	stu	sas	XY
HG03740	stu	sas	XY
HG03741	stu	sas	XX
HG03742	itu	sas	XY
HG03743	stu	sas	XY
HG03744	stu	sas	XY
HG03745	stu	sas	XY
HG03746	stu	sas	XY
HG03750	stu	sas	XY
HG03752	stu	sas	XX
HG03753	stu	sas	XY
HG03754	stu	sas	XX
HG03755	stu	sas	XY
HG03756	stu	sas	XX
HG03757	stu	sas	XX
HG03760	stu	sas	XX
HG03761	pjl	sas	XY
HG03762	pjl	sas	XX
HG03763	pjl	sas	XY
HG03765	pjl	sas	XX
HG03767	pjl	sas	XY
HG03770	itu	sas	XX
HG03771	itu	sas	XY
HG03772	itu	sas	XX
HG03773	itu	sas	XY
HG03774	itu	sas	XX
HG03775	itu	sas	XY
HG03777	itu	sas	XY
HG03778	itu	sas	XY
HG03779	itu	sas	XY
HG03780	itu	sas	XX
HG03781	itu	sas	XX
HG03782	itu	sas	XX
HG03784	itu	sas	XX
HG03785	itu	sas	XY
HG03786	itu	sas	XY
HG03787	itu	sas	XX
HG03788	itu	sas	XY
HG03789	itu	sas	XX
HG03790	itu	sas	XY
HG03792	itu	sas	XY
HG03793	beb	sas	XX
HG03794	beb	sas	XY
HG03795	beb	sas	XY
HG03796	beb	sas	XX
HG03797	beb	sas	XY
HG03798	beb	sas	XY
HG03799	beb	sas	XX
HG03800	beb	sas	XY
HG03801	beb	sas	XX
HG03802	beb	sas	XX
HG03803	beb	sas	XY
HG03804	beb	sas	XX
HG03805	beb	sas	XX
HG03806	beb	sas	XY
HG03807	beb	sas	XX
HG03808	beb	sas	XX
HG03809	beb	sas	XY
HG03812	beb	sas	XY
HG03817	beb	sas	XX
HG03821	beb	sas	XY
HG03824	beb	sas	XY
HG03826	beb	sas	XX
HG03829	beb	sas	XX
HG03830	beb	sas	XY
HG03831	beb	sas	XX
HG03832	beb	sas	XX
HG03833	beb	sas	XY
HG03834	beb	sas	XX
HG03836	stu	sas	XX
HG03837	stu	sas	XY
HG03838	stu	sas	XX
HG03844	stu	sas	XY
HG03846	stu	sas	XY
HG03848	stu	sas	XY
HG03849	stu	sas	XX
HG03850	stu	sas	XY
HG03851	stu	sas	XY
HG03854	stu	sas	XY
HG03856	stu	sas	XY
HG03857	stu	sas	XX
HG03858	stu	sas	XX
HG03861	itu	sas	XX
HG03862	itu	sas	XX
HG03863	itu	sas	XX
HG03864	itu	sas	XY
HG03866	itu	sas	XY
HG03867	itu	sas	XY
HG03868	itu	sas	XX
HG03869	itu	sas	XY
HG03870	itu	sas	XY
HG03871	itu	sas	XY
HG03872	itu	sas	XY
HG03873	itu	sas	XX
HG03874	itu	sas	XX
HG03875	itu	sas	XY
HG03882	itu	sas	XX
HG03884	stu	sas	XX
HG03887	stu	sas	XY
HG03888	stu	sas	XX
HG03890	stu	sas	XY
HG03894	stu	sas	XX
HG03895	stu	sas	XX
HG03896	stu	sas	XY
HG03897	stu	sas	XX
HG03898	stu	sas	XX
HG03899	stu	sas	XY
HG03900	stu	sas	XY
HG03902	beb	sas	XY
HG03904	beb	sas	XX
HG03905	beb	sas	XY
HG03906	beb	sas	XY
HG03907	beb	sas	XX
HG03908	beb	sas	XY
HG03909	beb	sas	XY
HG03910	beb	sas	XX
HG03911	beb	sas	XY
HG03913	beb	sas	XX
HG03914	beb	sas	XY
HG03915	beb	sas	XX
HG03916	beb	sas	XX
HG03917	beb	sas	XY
HG03919	beb	sas	XX
HG03920	beb	sas	XY
HG03922	beb	sas	XX
HG03925	beb	sas	XX
HG03926	beb	sas	XY
HG03927	beb	sas	XX
HG03928	beb	sas	XX
HG03929	beb	sas	XY
HG03930	beb	sas	XX
HG03931	beb	sas	XX
HG03934	beb	sas	XX
HG03937	beb	sas	XX
HG03940	beb	sas	XX
HG03941	beb	sas	XY
HG03942	beb	sas	XY
HG03945	stu	sas	XX
HG03947	stu	sas	XX
HG03949	stu	sas	XX
HG03950	stu	sas	XY
HG03951	stu	sas	XX
HG03953	stu	sas	XY
HG03955	stu	sas	XX
HG03960	itu	sas	XY
HG03963	itu	sas	XY
HG03965	itu	sas	XY
HG03967	itu	sas	XY
HG03968	itu	sas	XX
HG03969	itu	sas	XY
HG03971	itu	sas	XY
HG03973	itu	sas	XX
HG03974	itu	sas	XY
HG03976	itu	sas	XY
HG03977	itu	sas	XX
HG03978	itu	sas	XY
HG03985	stu	sas	XY
HG03986	stu	sas	XX
HG03989	stu	sas	XX
HG03990	stu	sas	XY
HG03991	stu	sas	XY
HG03995	stu	sas	XX
HG03998	stu	sas	XY
HG03999	stu	sas	XY
HG04001	itu	sas	XX
HG04002	itu	sas	XY
HG04003	stu	sas	XY
HG04006	stu	sas	XY
HG04014	itu	sas	XX
HG04015	itu	sas	XY
HG04017	itu	sas	XY
HG04018	itu	sas	XX
HG04019	itu	sas	XY
HG04020	itu	sas	XY
HG04022	itu	sas	XY
HG04023	itu	sas	XY
HG04025	itu	sas	XX
HG04026	itu	sas	XX
HG04029	stu	sas	XX
HG04033	stu	sas	XY
HG04035	stu	sas	XX
HG04036	stu	sas	XX
HG04038	stu	sas	XX
HG04039	stu	sas	XY
HG04042	stu	sas	XX
HG04047	stu	sas	XX
HG04054	itu	sas	XX
HG04056	itu	sas	XY
HG04059	itu	sas	XX
HG04060	itu	sas	XY
HG04061	itu	sas	XY
HG04062	itu	sas	XX
HG04063	itu	sas	XX
HG04070	itu	sas	XX
HG04075	stu	sas	XX
HG04076	itu	sas	XX
HG04080	itu	sas	XY
HG04090	itu	sas	XX
HG04093	itu	sas	XY
HG04094	itu	sas	XY
HG04096	itu	sas	XY
HG04098	itu	sas	XY
HG04099	stu	sas	XX
HG04100	stu	sas	XY
HG04106	stu	sas	XX
HG04107	stu	sas	XY
HG04115	stu	sas	XY
HG04118	itu	sas	XX
HG04122	stu	sas	XY
HG04127	stu	sas	XY
HG04131	beb	sas	XY
HG04132	beb	sas	XX
HG04133	beb	sas	XX
HG04134	beb	sas	XY
HG04135	beb	sas	XX
HG04136	beb	sas	XX
HG04140	beb	sas	XY
HG04141	beb	sas	XX
HG04142	beb	sas	XX
HG04144	beb	sas	XX
HG04146	beb	sas	XY
HG04147	beb	sas	XX
HG04148	beb	sas	XX
HG04149	beb	sas	XY
HG04150	beb	sas	XX
HG04151	beb	sas	XX
HG04152	beb	sas	XY
HG04153	beb	sas	XX
HG04155	beb	sas	XY
HG04156	beb	sas	XX
HG04157	beb	sas	XY
HG04158	beb	sas	XY
HG04159	beb	sas	XX
HG04160	beb	sas	XY
HG04161	beb	sas	XY
HG04162	beb	sas	XX
HG04164	beb	sas	XY
HG04171	beb	sas	XX
HG04173	beb	sas	XY
HG04174	beb	sas	XX
HG04175	beb	sas	XX
HG04176	beb	sas	XY
HG04177	beb	sas	XX
HG04180	beb	sas	XX
HG04182	beb	sas	XY
HG04183	beb	sas	XX
HG04184	beb	sas	XX
HG04185	beb	sas	XY
HG04186	beb	sas	XX
HG04187	beb	sas	XY
HG04188	beb	sas	XY
HG04189	beb	sas	XX
HG04191	beb	sas	XY
HG04192	beb	sas	XX
HG04193	beb	sas	XY
HG04194	beb	sas	XY
HG04195	beb	sas	XX
HG04199	stu	sas	XY
HG04204	stu	sas	XY
HG04206	itu	sas	XY
HG04209	itu	sas	XX
HG04210	stu	sas	XY
HG04211	itu	sas	XY
HG04212	itu	sas	XX
HG04214	itu	sas	XX
HG04215	stu	sas	XY
HG04216	itu	sas	XX
HG04219	itu	sas	XY
HG04222	itu	sas	XY
HG04225	itu	sas	XY
HG04227	stu	sas	XX
HG04228	stu	sas	XY
HG04229	stu	sas	XY
HG04235	itu	sas	XY
HG04238	itu	sas	XY
HG04239	itu	sas	XY
HGDP00003	brahui	sas	XY
HGDP00007	brahui	sas	XY
HGDP00011	brahui	sas	XY
HGDP00013	brahui	sas	XY
HGDP00015	brahui	sas	XY
HGDP00017	brahui	sas	XY
HGDP00021	brahui	sas	XY
HGDP00023	brahui	sas	XY
HGDP00025	brahui	sas	XY
HGDP00029	brahui	sas	XY
HGDP00031	brahui	sas	XY
HGDP00033	brahui	sas	XY
HGDP00035	brahui	sas	XY
HGDP00037	brahui	sas	XY
HGDP00039	brahui	sas	XY
HGDP00041	brahui	sas	XY
HGDP00043	brahui	sas	XY
HGDP00045	brahui	sas	XY
HGDP00047	brahui	sas	XY
HGDP00049	brahui	sas	XY
HGDP00052	balochi	sas	XY
HGDP00054	balochi	sas	XY
HGDP00060	balochi	sas	XY
HGDP00064	balochi	sas	XY
HGDP00066	balochi	sas	XY
HGDP00068	balochi	sas	XY
HGDP00070	balochi	sas	XY
HGDP00072	balochi	sas	XY
HGDP00074	balochi	sas	XY
HGDP00076	balochi	sas	XY
HGDP00078	balochi	sas	XY
HGDP00080	balochi	sas	XY
HGDP00082	balochi	sas	XY
HGDP00086	balochi	sas	XY
HGDP00088	balochi	sas	XY
HGDP00092	balochi	sas	XY
HGDP00094	balochi	sas	XY
HGDP00096	balochi	sas	XY
HGDP00098	balochi	sas	XY
HGDP00099	hazara	sas	XY
HGDP00100	hazara	sas	XY
HGDP00102	hazara	oth	XY
HGDP00103	hazara	sas	XY
HGDP00105	hazara	sas	XY
HGDP00106	hazara	sas	XY
HGDP00108	hazara	sas	XY
HGDP00109	hazara	sas	XY
HGDP00110	hazara	sas	XY
HGDP00115	hazara	oth	XY
HGDP00118	hazara	sas	XY
HGDP00119	hazara	sas	XY
HGDP00120	hazara	sas	XY
HGDP00121	hazara	sas	XY
HGDP00122	hazara	oth	XY
HGDP00127	hazara	sas	XY
HGDP00129	hazara	oth	XY
HGDP00130	makrani	sas	XY
HGDP00131	makrani	sas	XY
HGDP00133	makrani	sas	XY
HGDP00134	makrani	sas	XY
HGDP00135	makrani	sas	XY
HGDP00136	makrani	sas	XY
HGDP00137	makrani	sas	XY
HGDP00139	makrani	sas	XY
HGDP00140	makrani	sas	XY
HGDP00141	makrani	sas	XY
HGDP00143	makrani	sas	XY
HGDP00144	makrani	sas	XY
HGDP00145	makrani	sas	XY
HGDP00146	makrani	sas	XY
HGDP00148	makrani	sas	XY
HGDP00149	makrani	sas	XY
HGDP00150	makrani	sas	XY
HGDP00151	makrani	sas	XX
HGDP00153	makrani	sas	XX
HGDP00154	makrani	sas	XX
HGDP00155	makrani	sas	XX
HGDP00158	makrani	sas	XY
HGDP00161	makrani	sas	XY
HGDP00167	sindhi	sas	XY
HGDP00169	sindhi	sas	XY
HGDP00171	sindhi	sas	XY
HGDP00175	sindhi	sas	XY
HGDP00177	sindhi	sas	XY
HGDP00179	sindhi	sas	XY
HGDP00181	sindhi	sas	XY
HGDP00183	sindhi	sas	XY
HGDP00187	sindhi	sas	XY
HGDP00189	sindhi	sas	XY
HGDP00191	sindhi	sas	XY
HGDP00192	sindhi	sas	XX
HGDP00197	sindhi	sas	XY
HGDP00199	sindhi	sas	XY
HGDP00201	sindhi	sas	XY
HGDP00205	sindhi	sas	XY
HGDP00206	sindhi	sas	XX
HGDP00210	sindhi	sas	XX
HGDP00214	pathan	sas	XY
HGDP00222	pathan	sas	XY
HGDP00224	pathan	sas	XY
HGDP00228	pathan	sas	XY
HGDP00230	pathan	sas	XY
HGDP00234	pathan	sas	XY
HGDP00237	pathan	sas	XX
HGDP00239	pathan	sas	XX
HGDP00241	pathan	sas	XY
HGDP00243	pathan	sas	XY
HGDP00244	pathan	sas	XX
HGDP00247	pathan	sas	XX
HGDP00248	pathan	sas	XY
HGDP00251	pathan	sas	XY
HGDP00254	pathan	sas	XY
HGDP00258	pathan	sas	XY
HGDP00259	pathan	sas	XY
HGDP00262	pathan	sas	XY
HGDP00264	pathan	sas	XY
HGDP00274	kalash	sas	XX
HGDP00277	kalash	sas	XY
HGDP00281	kalash	sas	XY
HGDP00285	kalash	sas	XY
HGDP00290	kalash	sas	XY
HGDP00298	kalash	sas	XX
HGDP00302	kalash	sas	XY
HGDP00304	kalash	sas	XX
HGDP00307	kalash	sas	XY
HGDP00309	kalash	sas	XY
HGDP00311	kalash	sas	XY
HGDP00313	kalash	sas	XY
HGDP00315	kalash	sas	XY
HGDP00321	kalash	sas	XY
HGDP00323	kalash	sas	XX
HGDP00326	kalash	sas	XY
HGDP00330	kalash	sas	XY
HGDP00333	kalash	sas	XY
HGDP00346	burusho	sas	XY
HGDP00351	burusho	sas	XY
HGDP00356	burusho	sas	XX
HGDP00364	burusho	sas	XY
HGDP00371	burusho	sas	XX
HGDP00372	burusho	sas	XY
HGDP00376	burusho	sas	XY
HGDP00382	burusho	sas	XY
HGDP00388	burusho	sas	XY
HGDP00392	burusho	sas	XY
HGDP00397	burusho	sas	XY
HGDP00402	burusho	sas	XY
HGDP00407	burusho	sas	XY
HGDP00412	burusho	sas	XY
HGDP00417	burusho	sas	XY
HGDP00423	burusho	sas	XY
HGDP00433	burusho	sas	XY
HGDP00438	burusho	sas	XY
HGDP00444	burusho	sas	XX
HGDP00445	burusho	sas	XY
HGDP00511	french	nfe	XY
HGDP00512	french	nfe	XY
HGDP00513	french	nfe	XX
